Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate/Ratio,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate/Ratio,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,National Avg VAT Catheter Measure Score,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate/Ratio,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate/Ratio,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,National Avg Fistula Measure Score,Vascular Access Combined Measure Score,National Avg Vascular Access Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate/Ratio,Number of Patients Included in Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate/Ratio,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,National Avg Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate/Ratio,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate/Ratio,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,National Avg Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate/Ratio,Number of Patients Included in Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate/Ratio,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,National Avg Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Peritoneal Dialysis Measure Score,Kt/V Pediatric Peritoneal Dialysis Achievement Measure Rate/Ratio,Number of Patients Included in Kt/V Pediatric Peritoneal Dialysis Measure Score Achievement Period,Kt/V Pediatric Peritoneal Dialysis Achievement Period Numerator,Kt/V Pediatric Peritoneal Dialysis Achievement Period Denominator,Kt/V Pediatric Peritoneal Dialysis Improvement Measure Rate/Ratio,Kt/V Pediatric Peritoneal Dialysis Improvement Period Numerator,Kt/V Pediatric Peritoneal Dialysis Improvement Period Denominator,Kt/V Pediatric Peritoneal Dialysis Measure Score Applied,National Avg Kt/V Pediatric Peritoneal Dialysis Measure Score,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate/Ratio,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate/Ratio,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,National Avg Hypercalcemia Measure Score,NHSN BSI Measure Score,NHSN BSI Achievement Measure Rate/Ratio,Number of Patients Eligible for NHSN BSI Measure Score Achievement Period,NHSN BSI Achievement Period Numerator,NHSN BSI Achievement Period Denominator,NHSN BSI Improvement Measure Rate/Ratio,NHSN BSI Improvement Period Numerator,NHSN BSI Improvement Period Denominator,NHSN BSI Measure Score Applied,National Avg NHSN BSI Measure Score,ICH CAHPS Measure Score,National Avg ICH CAHPS Measure Score,ICH CAHPS Count of Completed Surveys,ICH CAHPS Neph Comm and Caring Achievement Rate,ICH CAHPS Neph Comm and Caring Improvement Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Mineral Metabolism Measure Score,Number of Patients Included in Mineral Metabolism Measure Score Achievement Period,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,Number of Patients Included in Anemia Management Measure Score Achievement Period,National Avg Anemia Management Measure Score,Clinical Depression Screening and Follow-up Measure Score,Number of Patients Included in Clinical Depression Screening and Follow-up Measure Score Achievement Period,National Avg Clinical Depression Screening and Follow-up Measure Score,NHSN Influenza Measure Score,National Avg NHSN Influenza Measure Score,Pain Assessment and Follow-up Measure Score,Number of Patients Included in Pain Assessment and Follow-up Measure Score Achievement Period,National Avg Pain Assessment and Follow-up Measure Score,SRR Measure Score,SRR Achievement Measure Rate/Ratio,SRR Index Discharges included in Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Rate/Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Avg SRR Measure Score,STrR Measure Score,STrR Achievement Measure Rate/Ratio,STrR Patient-Years at Risk,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Rate/Ratio,STrR Improvement Period Numerator,STrR Improvement Period Denominator,STrR Measure Score Applied,National Avg STrR Measure Score,Total Performance Score,PY2018 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2016",Date of Ownership Record Update
CHILDRENS HOSPITAL DIALYSIS,012306,013300,1600 7TH AVENUE SOUTH,-,BIRMINGHAM,AL,35233,8,No Score,No Rate,<11,,,No Rate,,,N/A,5,No Score,No Rate,<11,,,No Rate,,,N/A,5,No Score,5,No Score,No Rate,<11,,,No Rate,,,N/A,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,9,83.66%,13,70,96,No Rate,N/A,N/A,Achievement,8,9,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,5,1.452,18,3,2.066,2.94,6,2.041,Improvement,5,No Score,5,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,21,9,10,21,10,10,15,10,10,10,No Score,<11,10,6,0.944,31,11,11.156,1.642,15,9.137,Improvement,5,No Score,No Ratio,<10,,,No Ratio,,,N/A,5,70,No Reduction,11/17/1982,NOT A CHAIN,3/6/2012
FMC CAPITOL CITY,012500,-,255 S JACKSON STREET,-,MONTGOMERY,AL,36104,8,5,10.44%,79,81,776,9.36%,69,737,Achievement,5,0,47.61%,76,389,817,54.10%,422,780,Achievement,5,3,5,9,98.94%,78,750,758,97.78%,706,722,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,9,7,9,0.40%,123,5,1259,0.99%,11,1112,Achievement,8,8,0.363,163,3,8.261,0.136,1,7.377,Achievement,5,4,5,48,70.51%,71.98%,Achievement,56.78%,54.96%,Achievement,73.03%,74.40%,Achievement,66.23%,62.92%,Achievement,56.74%,56.39%,Achievement,57.02%,55.33%,Achievement,10,81,9,10,81,10,10,120,10,10,10,10,119,10,5,0.923,95,21,22.762,0.982,28,28.517,Achievement,5,5,0.916,52.99383984,19,20.74,0.943,20,21.203,Achievement,5,64,No Reduction,9/1/1976,FRESENIUS MEDICAL CARE,3/6/2012
GADSDEN DIALYSIS,012501,-,409 SOUTH FIRST STREET,-,GADSDEN,AL,35901,8,5,9.12%,43,30,329,7.25%,30,414,Achievement,5,2,58.22%,36,209,359,56.26%,247,439,Achievement,5,4,5,10,99.69%,43,320,321,95.99%,383,399,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,10,7,9,0.20%,63,1,499,0.69%,4,577,Achievement,8,0,2.578,86,11,4.268,1.506,6,3.984,Achievement,5,No Score,5,<30,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,44,9,10,46,10,10,62,10,10,10,10,62,10,3,1.195,90,25,20.924,1.592,34,21.359,Improvement,5,0,3.255,29.37713895,36,11.059,1.283,18,14.032,Achievement,5,49,No Reduction,9/1/1976,DAVITA,11/18/2009
TUSCALOOSA UNIVERSITY DIALYSIS,012502,-,220 15TH STREET,-,TUSCALOOSA,AL,35401,8,7,6.17%,95,56,907,6.64%,62,934,Achievement,5,0,50.52%,92,490,970,49.79%,480,964,Achievement,5,4,5,9,98.98%,99,875,884,97.29%,863,887,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,9,7,9,0.17%,122,2,1201,0.00%,0,1228,Achievement,8,5,0.862,168,6,6.962,1.056,7,6.632,Achievement,5,3,5,47,64.74%,67.23%,Achievement,55.63%,62.78%,Achievement,80.21%,75.32%,Achievement,59.73%,64.55%,Achievement,46.90%,58.66%,Achievement,63.88%,72.03%,Achievement,10,99,9,10,106,10,10,118,10,10,10,10,118,10,0,1.336,186,70,52.376,1.055,44,41.723,Achievement,5,4,1.082,62.35455168,23,21.256,0.993,23,23.161,Achievement,5,54,No Reduction,10/21/1977,DAVITA,11/17/2009
PCD MONTGOMERY,012505,-,1001 FOREST AVENUE,-,MONTGOMERY,AL,36106,8,7,7.28%,48,33,453,2.03%,11,541,Achievement,5,3,59.87%,46,282,471,58.36%,321,550,Achievement,5,5,5,10,99.54%,53,435,437,99.19%,488,492,Achievement,7,10,100.00%,25,207,207,97.66%,250,256,Achievement,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,10,7,8,0.64%,96,6,933,0.77%,8,1035,Achievement,8,5,0.901,88,3,3.329,1.817,5,2.752,Achievement,5,No Score,5,<30,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,78,9,10,79,10,10,92,10,10,10,10,92,10,7,0.756,121,23,30.425,0.98,27,27.544,Achievement,5,6,0.817,49.79876797,15,18.355,0.433,9,20.801,Achievement,5,71,No Reduction,12/14/1977,DAVITA,3/16/2012
DOTHAN DIALYSIS,012506,-,216 GRACELAND DR.,-,DOTHAN,AL,36305,8,10,0.55%,60,3,542,1.02%,6,587,Achievement,5,3,60.95%,56,345,566,61.97%,378,610,Achievement,5,7,5,8,98.36%,59,480,488,98.35%,536,545,Achievement,7,10,97.32%,17,149,154,95.07%,212,223,Achievement,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,8,7,9,0.24%,90,2,830,0.85%,8,943,Achievement,8,0,1.896,114,5,2.637,0.374,1,2.671,Achievement,5,7,5,31,71.09%,73.28%,Achievement,61.69%,63.13%,Achievement,82.06%,79.83%,Achievement,75.34%,78.91%,Achievement,66.89%,65.14%,Achievement,66.27%,73.96%,Achievement,8,75,9,10,75,10,10,87,10,10,10,10,86,10,6,0.896,81,18,20.082,0.531,10,18.844,Achievement,5,4,1.036,50.72416153,20,19.31,0.795,21,26.423,Achievement,5,60,No Reduction,11/28/1977,DAVITA,10/24/2009
FMC MOBILE,012507,-,2620 OLD SHELL RD,-,MOBILE,AL,36607,8,9,3.06%,76,22,720,3.25%,24,738,Achievement,5,1,53.68%,74,408,760,50.13%,391,780,Achievement,5,5,5,9,98.72%,77,693,702,95.50%,700,733,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,9,7,9,0.17%,122,2,1197,0.16%,2,1220,Achievement,8,9,0.182,161,1,5.492,0.825,5,6.062,Achievement,5,2,5,63,63.49%,56.51%,Achievement,54.57%,50.45%,Achievement,75.51%,77.21%,Achievement,52.25%,50.40%,Achievement,53.78%,46.16%,Achievement,56.24%,51.72%,Achievement,10,79,9,10,79,10,10,121,10,10,10,10,121,10,8,0.682,118,18,26.402,1.042,30,28.801,Achievement,5,7,0.752,54.4312115,16,21.263,0.952,21,22.052,Achievement,5,70,No Reduction,1/4/1979,FRESENIUS MEDICAL CARE,3/6/2012
BIRMINGHAM EAST DIALYSIS,012508,-,1105 EAST PARK DRIVE,-,BIRMINGHAM,AL,35235,8,6,8.18%,58,39,477,8.62%,45,522,Achievement,5,1,54.36%,53,287,528,49.82%,281,564,Achievement,5,4,5,10,99.59%,66,485,487,97.35%,478,491,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,10,7,9,0.12%,98,1,852,0.12%,1,848,Achievement,8,8,0.564,154,3,5.318,3.191,18,5.641,Improvement,5,2,5,34,61.70%,60.08%,Achievement,51.34%,38.80%,Improvement,73.96%,71.74%,Achievement,55.96%,52.06%,Achievement,39.17%,36.46%,Achievement,42.10%,32.21%,Improvement,6,69,9,10,69,10,10,95,10,10,10,10,92,10,3,1.072,114,31,28.915,1.199,34,28.35,Achievement,5,4,1.083,40.98836413,16,14.773,1.475,23,15.589,Achievement,5,61,No Reduction,6/28/1979,DAVITA,1/2/1980
FMC NORTH ALABAMA,012509,-,1311 N MEMORIAL PKWY #200,-,HUNTSVILLE,AL,35801,8,3,12.52%,63,68,543,6.59%,38,577,Achievement,5,4,64.95%,58,378,582,70.55%,436,618,Achievement,5,3,5,6,96.59%,65,482,499,92.43%,525,568,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,6,7,7,0.93%,86,7,749,2.84%,21,740,Achievement,8,9,0.176,139,1,5.698,0.21,1,4.77,Achievement,5,No Score,5,<30,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,70,9,10,70,10,10,84,10,10,10,10,82,10,4,1.035,95,24,23.182,1.264,25,19.782,Achievement,5,2,1.285,39.321013,20,15.561,0.992,16,16.131,Achievement,5,59,No Reduction,7/16/1979,FRESENIUS MEDICAL CARE,3/6/2012
FMC SELMA,012512,-,905 MEDICAL CENTER PARKWAY,-,SELMA,AL,36701,8,8,5.02%,47,23,458,9.63%,50,519,Achievement,5,1,55.13%,42,258,468,52.17%,277,531,Achievement,5,5,5,3,94.50%,50,412,436,96.36%,476,494,Achievement,7,No Score,No Rate,<11,,,No Rate,,,N/A,8,No Score,No Rate,<11,,,No Rate,,,N/A,9,No Score,No Rate,<11,,,No Rate,,,N/A,8,3,7,10,0.00%,77,0,752,1.03%,8,775,Achievement,8,6,0.734,95,3,4.089,0.25,1,3.995,Achievement,5,No Score,5,<30,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,61,9,10,62,10,10,74,10,10,10,10,74,10,4,1.015,55,12,11.823,1.026,17,16.564,Achievement,5,9,0.527,37.07871321,8,15.183,1.317,24,18.217,Achievement,5,60,No Reduction,8/25/1980,FRESENIUS MEDICAL CARE,8/25/1980
